ps_idx,Latitude,Longitude,Capacity
1,52.475741,-1.891063,577.0
2,52.480422,-1.830195,317.0
3,52.484473,-1.901422,863.0
4,52.47841981,-1.904292077,387.0
5,52.47793447,-1.893898183,1010.0
6,52.4789493,-1.903142451,1194.0
7,52.47609136,-1.893755386,849.0
8,52.48035,-1.907699,470.0
9,52.48663425,-1.890946653,220.0
10,52.47728,-1.906459,687.0
11,52.484384,-1.885332,1200.0
12,52.4504362,-1.715726736,720.0
13,52.451086,-1.941379,485.0
14,52.47366,-1.896019,450.0
15,52.480218,-1.829966,600.0
16,52.47854881,-1.908252532,690.0
17,52.478096,-1.912469,3053.0
18,52.502198,-1.856457,1268.0
19,52.452527,-1.731644,788.0
20,52.50871381,-1.823690196,2009.0
21,52.484862,-1.896338,2803.0
22,52.452382,-1.743507,4675.0
23,52.475126,-1.902406,3883.0
24,52.453142,-1.733347,2937.0
25,52.47351498,-1.921674965,1322.0
26,52.472442,-1.768789,3103.0
27,52.5012354,-1.858147658,1920.0
