TimeStamp,ps_idx,Capacity,Occupancy,Occupancy_Rate,Longitude,Latitude,Date,DayOfWeek,isWeekend,Time,Hour,Minute
2016-10-04 08:00:00,1,577.0,61.0,10.5719,-1.891063,52.475741,2016-10-04,1,False,08:00,8,0
2016-10-04 08:30:00,1,577.0,64.0,11.0919,-1.891063,52.475741,2016-10-04,1,False,08:30,8,30
2016-10-04 09:00:00,1,577.0,80.0,13.8648,-1.891063,52.475741,2016-10-04,1,False,09:00,9,0
2016-10-04 09:30:00,1,577.0,107.0,18.5442,-1.891063,52.475741,2016-10-04,1,False,09:30,9,30
2016-10-04 10:00:00,1,577.0,150.0,25.9965,-1.891063,52.475741,2016-10-04,1,False,10:00,10,0
2016-10-04 10:30:00,1,577.0,177.0,30.6759,-1.891063,52.475741,2016-10-04,1,False,10:30,10,30
2016-10-04 11:00:00,1,577.0,219.0,37.9549,-1.891063,52.475741,2016-10-04,1,False,11:00,11,0
2016-10-04 11:30:00,1,577.0,247.0,42.8076,-1.891063,52.475741,2016-10-04,1,False,11:30,11,30
2016-10-04 12:00:00,1,577.0,259.0,44.8873,-1.891063,52.475741,2016-10-04,1,False,12:00,12,0
2016-10-04 12:30:00,1,577.0,266.0,46.1005,-1.891063,52.475741,2016-10-04,1,False,12:30,12,30
2016-10-04 13:00:00,1,577.0,269.0,46.6205,-1.891063,52.475741,2016-10-04,1,False,13:00,13,0
2016-10-04 13:30:00,1,577.0,263.0,45.5806,-1.891063,52.475741,2016-10-04,1,False,13:30,13,30
2016-10-04 14:00:00,1,577.0,238.0,41.2478,-1.891063,52.475741,2016-10-04,1,False,14:00,14,0
2016-10-04 14:30:00,1,577.0,215.0,37.2617,-1.891063,52.475741,2016-10-04,1,False,14:30,14,30
2016-10-04 15:00:00,1,577.0,192.0,33.2756,-1.891063,52.475741,2016-10-04,1,False,15:00,15,0
2016-10-04 15:30:00,1,577.0,165.0,28.5962,-1.891063,52.475741,2016-10-04,1,False,15:30,15,30
2016-10-04 16:00:00,1,577.0,162.0,28.0763,-1.891063,52.475741,2016-10-04,1,False,16:00,16,0
